"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"glycocholate","Glycocholic acid","HMDB0000138","10140","17687","C01921","5169","C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","1"
"glycodeoxycholate/glycochenodeoxycholate","NA","NA","NA","NA","NA","NA","NA","0"
"glucose","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"glucuronate","D-Glucuronic acid","HMDB0000127","444791","42717","C00191","161","O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O","1"
"glutamine","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"glutamate","Glutamic acid","HMDB0000148","33032","16015","C00025","5174","N[C@@H](CCC(O)=O)C(O)=O","1"
"glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"glyceraldehyde","Glyceraldehyde","HMDB0001051","751","5445","C02154","4176","OCC(O)C=O","1"
"betaine","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"glycerol_1","NA","NA","NA","NA","NA","NA","NA","0"
"alpha-glycerophosphate","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","OC[C@@H](O)COP(O)(O)=O","1"
"GMP","Guanosine monophosphate","HMDB0001397","6804","17345","C00144","6216","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"glutathione oxidized","NA","NA","NA","NA","NA","NA","NA","0"
"guanidinoacetate","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"homocysteine","Homocysteine","HMDB0000742","91552","17588","C00155","3256","N[C@@H](CCS)C(O)=O","1"
"3-OH-kynurenate","NA","NA","NA","NA","NA","NA","NA","0"
"homoserine","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"isocitrate","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"IMP","Inosinic acid","HMDB0000175","8582","17202","C00130","5196","O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"inosine","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"kynurenate","Kynurenic acid","HMDB0000715","3845","18344","C01717","5683","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"2-aminodipate","NA","NA","NA","NA","NA","NA","NA","0"
"lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"lactose","Alpha-Lactose","HMDB0000186","84571","36219","C00243","267","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O","1"
"leucine","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"kynurenine","Kynurenine","HMDB0000684","161166","16946","C00328","72","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"malate","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"methionine","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"niacin","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"niacinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"nicotinic acid mononucleotide","Nicotinic acid mononucleotide","HMDB0001132","121992","37008","C01185","6026","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CC=CC(=C1)C(O)=O","1"
"ornithine","Ornithine","HMDB0000214","6262","15729","C00077","27","NCCC[C@H](N)C(O)=O","1"
"orotate","Orotic acid","HMDB0000226","967","16742","C00295","318","OC(=O)C1=CC(=O)NC(=O)N1","1"
"OMP","Orotidylic acid","HMDB0000218","160617","15842","C01103","5228","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"oxalate","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"PEP","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"pantothenate","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"proprionate","NA","NA","NA","NA","NA","NA","NA","0"
"proline","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"pyruvate","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
"quinolinate","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"sorbitol","Sorbitol","HMDB0000247","5780","17924","C00794","143","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"spermidine","Spermidine","HMDB0001257","1102","16610","C00315","254","NCCCCNCCCN","1"
"spermine","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"serotonin","Serotonin","HMDB0000259","5202","28790","C00780","74","NCCC1=CNC2=C1C=C(O)C=C2","1"
"succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"sucrose","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"taurocholate","Taurocholic acid","HMDB0000036","6675","28865","C05122","5104","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"taurodeoxycholate/taurochenodeoxycholate","NA","NA","NA","NA","NA","NA","NA","0"
"thiamine","Thiamine","HMDB0000235","1130","18385","C00378","5242","CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N","1"
"threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"thymidine","Thymidine","HMDB0000273","5789","17748","C00214","3375","CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O","1"
"thyroxine","Thyroxine","HMDB0000248","5819","18332","C01829","439","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O","1"
"triiodothyronine","Liothyronine","HMDB0000265","5920","18258","C02465","5265","N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O","1"
"tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"UDP-glucuronate","Uridine diphosphate glucuronic acid","HMDB0000935","17473","17200","C00167","5884","O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","1"
"UMP","Uridine 5'-monophosphate","HMDB0000288","6030","16695","C00105",NA,"O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","1"
"uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"urate","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"xanthine","Xanthine","HMDB0000292","1188","17712","C00385","82","O=C1NC2=C(NC=N2)C(=O)N1","1"
"XMP","Xanthylic acid","HMDB0001554","73323","15652","C00655",NA,"O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O","1"
"xanthosine","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
